s,C
Time,"CENTER_TEMP"
 0.0000000E+000, 2.0000000E+001
 1.5966498E-001, 2.0000000E+001
 3.1932996E-001, 2.0000003E+001
 4.7899494E-001, 1.9999807E+001
 6.3865991E-001, 2.0001656E+001
 7.2029432E-001, 2.0002661E+001
 7.9569700E-001, 2.0003588E+001
 8.6055292E-001, 2.0059279E+001
 9.2540883E-001, 2.0115427E+001
 9.8250118E-001, 2.0165567E+001
 1.0395935E+000, 2.0254847E+001
 1.0761687E+000, 2.0312494E+001
 1.1127439E+000, 2.0371537E+001
 1.1529766E+000, 2.0464820E+001
 1.1932093E+000, 2.0560408E+001
 1.2334420E+000, 2.0659102E+001
 1.2736747E+000, 2.0794253E+001
 1.3095519E+000, 2.0918892E+001
 1.3454291E+000, 2.1052175E+001
 1.3762681E+000, 2.1214118E+001
 1.4071071E+000, 2.1410383E+001
 1.4379461E+000, 2.1849268E+001
 1.4687851E+000, 2.3136657E+001
 1.4996241E+000, 2.6445549E+001
 1.5268220E+000, 3.3527955E+001
 1.5540199E+000, 4.8307387E+001
 1.5812179E+000, 7.6925346E+001
 1.6292101E+000, 1.4850941E+002
 1.6979000E+000, 3.7835918E+002
 1.7578049E+000, 5.6748408E+002
 1.8133339E+000, 5.6770273E+002
 1.8688630E+000, 4.8154252E+002
 1.9243920E+000, 4.6823187E+002
 1.9984307E+000, 5.6355101E+002
 2.0539598E+000, 6.0316390E+002
 2.1094888E+000, 5.9491312E+002
 2.1751989E+000, 5.9556087E+002
 2.2244814E+000, 5.8457153E+002
 2.2866903E+000, 5.9918467E+002
 2.3453978E+000, 6.0164049E+002
 2.4085085E+000, 5.8692933E+002
 2.4730869E+000, 5.6793673E+002
 2.5215206E+000, 6.1008791E+002
 2.5925568E+000, 5.9167982E+002
 2.6458340E+000, 5.3149120E+002
 2.7085483E+000, 6.0794699E+002
 2.7694723E+000, 6.8119778E+002
 2.8250249E+000, 6.8835367E+002
 2.8805776E+000, 6.7867414E+002
 2.9527961E+000, 6.9391560E+002
 3.0139040E+000, 6.4731249E+002
 3.0750119E+000, 6.1749273E+002
 3.1208428E+000, 5.4364258E+002
 3.1819508E+000, 4.3324401E+002
 3.2430587E+000, 3.9590011E+002
 3.3041666E+000, 4.2413871E+002
 3.3683299E+000, 4.2713193E+002
 3.4355487E+000, 4.1642297E+002
 3.4943633E+000, 5.1146819E+002
 3.5417020E+000, 6.0104630E+002
 3.6048201E+000, 5.6363418E+002
 3.6702642E+000, 4.4014970E+002
 3.7317224E+000, 6.6638451E+002
 3.7931805E+000, 7.8830795E+002
 3.8528493E+000, 7.3112350E+002
 3.9071500E+000, 5.6637203E+002
 3.9614507E+000, 4.6270361E+002
 4.0293265E+000, 3.9941291E+002
 4.0863422E+000, 3.0238714E+002
 4.1460729E+000, 2.5910625E+002
 4.2058036E+000, 1.9770430E+002
 4.2655344E+000, 1.7238663E+002
 4.3252651E+000, 1.8836124E+002
 4.3849958E+000, 3.2881979E+002
 4.4447265E+000, 6.9530167E+002
 4.5044573E+000, 7.9749192E+002
 4.5641880E+000, 7.4184529E+002
 4.6309028E+000, 6.4494172E+002
 4.6842746E+000, 6.0800825E+002
 4.7509894E+000, 5.1182885E+002
 4.8043612E+000, 7.5258992E+002
 4.8710760E+000, 8.4468607E+002
 4.9257822E+000, 8.5120893E+002
 4.9844912E+000, 7.7755333E+002
 5.0432002E+000, 5.4208578E+002
 5.1019092E+000, 4.3802089E+002
 5.1606182E+000, 3.4736862E+002
 5.2340045E+000, 2.6203251E+002
 5.2927135E+000, 3.9263457E+002
 5.3514225E+000, 7.0826062E+002
 5.4101315E+000, 7.5733784E+002
 5.4688405E+000, 4.9727743E+002
 5.5275495E+000, 4.6597010E+002
 5.5862586E+000, 7.3559688E+002
 5.6449676E+000, 8.3270209E+002
 5.7036766E+000, 6.7240113E+002
 5.7623856E+000, 5.6192437E+002
 5.8210946E+000, 7.7959832E+002
 5.8944809E+000, 7.3416699E+002
 5.9531899E+000, 7.1930036E+002
 6.0118989E+000, 7.9477668E+002
 6.0706079E+000, 7.8110443E+002
 6.1307847E+000, 7.9439362E+002
 6.1953646E+000, 6.0317172E+002
 6.2417292E+000, 7.0519084E+002
 6.3121026E+000, 7.1734065E+002
 6.3619497E+000, 6.8167378E+002
 6.4242585E+000, 7.2149418E+002
 6.4927982E+000, 7.1580286E+002
 6.5476299E+000, 6.6337832E+002
 6.6024617E+000, 5.5644722E+002
 6.6710014E+000, 5.7432499E+002
 6.7285747E+000, 5.9140353E+002
 6.7934132E+000, 3.2221588E+002
 6.8431731E+000, 2.2942750E+002
 6.9095195E+000, 4.8386919E+002
 6.9758659E+000, 6.3038827E+002
 7.0231218E+000, 5.2763374E+002
 7.0935354E+000, 4.6793830E+002
 7.1481830E+000, 6.4225551E+002
 7.2101807E+000, 8.0516458E+002
 7.2721784E+000, 7.4923530E+002
 7.3242565E+000, 5.9743902E+002
 7.3924539E+000, 4.3966711E+002
 7.4470119E+000, 6.3928412E+002
 7.5015699E+000, 6.5723503E+002
 7.5697673E+000, 6.6583095E+002
 7.6243253E+000, 7.6458179E+002
 7.6925228E+000, 7.7142054E+002
 7.7470807E+000, 6.9005150E+002
 7.8016387E+000, 6.2044611E+002
 7.8698362E+000, 4.1982334E+002
 7.9243941E+000, 4.1312868E+002
 7.9925916E+000, 4.6831943E+002
 8.0471495E+000, 5.9884363E+002
 8.1017075E+000, 6.7174090E+002
 8.1699050E+000, 7.0999536E+002
 8.2244629E+000, 6.9406027E+002
 8.2926604E+000, 5.4801885E+002
 8.3513102E+000, 5.1923691E+002
 8.4128243E+000, 5.0136066E+002
 8.4623357E+000, 4.6769339E+002
 8.5283508E+000, 6.7717809E+002
 8.5943660E+000, 8.1063455E+002
 8.6535544E+000, 7.4653392E+002
 8.7127429E+000, 6.9339917E+002
 8.7719314E+000, 5.2957184E+002
 8.8250676E+000, 3.4531953E+002
 8.8941447E+000, 2.5399157E+002
 8.9525945E+000, 2.5079664E+002
 9.0110443E+000, 2.3425063E+002
 9.0694941E+000, 3.2224796E+002
 9.1279440E+000, 3.4956399E+002
 9.1878550E+000, 3.4907646E+002
 9.2521498E+000, 5.5591828E+002
 9.3003709E+000, 7.4535521E+002
 9.3719470E+000, 7.8041308E+002
 9.4213543E+000, 8.3467413E+002
 9.4892894E+000, 8.4303098E+002
 9.5436374E+000, 7.3262506E+002
 9.6115724E+000, 7.1512809E+002
 9.6686379E+000, 7.4538419E+002
 9.7284207E+000, 7.5363201E+002
 9.7919833E+000, 7.7632849E+002
 9.8428333E+000, 7.9374454E+002
 9.9127521E+000, 8.5360405E+002
 9.9644848E+000, 8.6385964E+002
 1.0029916E+001, 7.0265440E+002
 1.0083082E+001, 5.7135598E+002
 1.0141288E+001, 5.8254943E+002
 1.0201823E+001, 7.9308774E+002
 1.0267131E+001, 8.0947826E+002
 1.0323475E+001, 7.8884079E+002
 1.0393905E+001, 8.3049534E+002
 1.0450249E+001, 8.2106959E+002
 1.0506593E+001, 8.1908265E+002
 1.0567163E+001, 8.5792793E+002
 1.0629141E+001, 7.7976131E+002
 1.0686182E+001, 6.2786972E+002
 1.0741577E+001, 7.2273342E+002
 1.0810821E+001, 7.4938801E+002
 1.0866215E+001, 8.0998352E+002
 1.0921610E+001, 7.9698686E+002
 1.0990854E+001, 6.8341973E+002
 1.1046249E+001, 6.0137401E+002
 1.1101644E+001, 6.7984670E+002
 1.1170887E+001, 7.3403603E+002
 1.1226282E+001, 8.0065571E+002
 1.1281677E+001, 8.3849225E+002
 1.1350920E+001, 7.0742956E+002
 1.1406315E+001, 5.2084925E+002
 1.1461710E+001, 7.2001667E+002
 1.1530954E+001, 6.6118288E+002
 1.1586349E+001, 3.5481249E+002
 1.1641744E+001, 2.3103996E+002
 1.1702678E+001, 1.9367422E+002
 1.1763612E+001, 1.8938051E+002
 1.1824547E+001, 2.5129614E+002
 1.1885481E+001, 5.2438479E+002
 1.1946415E+001, 7.3514640E+002
 1.2005538E+001, 7.5939641E+002
 1.2072647E+001, 8.1928074E+002
 1.2126334E+001, 7.3643259E+002
 1.2180022E+001, 6.4725757E+002
 1.2247131E+001, 6.0376127E+002
 1.2302160E+001, 6.6972728E+002
 1.2361216E+001, 6.8244546E+002
 1.2420272E+001, 6.2167265E+002
 1.2480805E+001, 5.9470178E+002
 1.2542125E+001, 4.0321930E+002
 1.2606900E+001, 2.0486893E+002
 1.2660016E+001, 1.5244869E+002
 1.2731268E+001, 1.9816356E+002
 1.2788270E+001, 3.0577140E+002
 1.2845272E+001, 5.0925011E+002
 1.2902274E+001, 7.1009455E+002
 1.2973527E+001, 7.7696616E+002
 1.3033379E+001, 7.3935225E+002
 1.3080405E+001, 7.2463047E+002
 1.3143108E+001, 7.2528661E+002
 1.3205810E+001, 7.1473959E+002
 1.3261406E+001, 6.3725691E+002
 1.3334593E+001, 3.8329483E+002
 1.3391555E+001, 1.9274192E+002
 1.3446361E+001, 1.3171133E+002
 1.3502023E+001, 1.1050265E+002
 1.3567543E+001, 1.3885913E+002
 1.3622984E+001, 2.7925355E+002
 1.3692284E+001, 5.2375172E+002
 1.3747724E+001, 5.4974150E+002
 1.3807322E+001, 4.8133200E+002
 1.3868307E+001, 4.5669296E+002
 1.3929291E+001, 6.1502025E+002
 1.3986719E+001, 8.1988116E+002
 1.4040592E+001, 7.5348746E+002
 1.4107933E+001, 6.4679957E+002
 1.4161806E+001, 4.5151302E+002
 1.4221407E+001, 2.1146268E+002
 1.4290606E+001, 1.1515804E+002
 1.4350578E+001, 1.4849370E+002
 1.4401325E+001, 1.9834812E+002
 1.4469832E+001, 2.4240807E+002
 1.4531235E+001, 3.9615308E+002
 1.4592637E+001, 6.6206951E+002
 1.4654040E+001, 8.3857213E+002
 1.4700092E+001, 8.1307546E+002
 1.4771105E+001, 7.3447553E+002
 1.4824854E+001, 6.9145887E+002
 1.4892040E+001, 7.2632921E+002
 1.4945789E+001, 7.1760543E+002
 1.5012975E+001, 7.1009714E+002
 1.5066723E+001, 6.6821620E+002
 1.5120472E+001, 4.5535853E+002
 1.5189002E+001, 3.4480652E+002
 1.5248126E+001, 5.6675209E+002
 1.5307249E+001, 7.6976494E+002
 1.5369329E+001, 8.1985051E+002
 1.5434365E+001, 7.6926249E+002
 1.5491109E+001, 5.4437581E+002
 1.5547853E+001, 4.8009275E+002
 1.5604596E+001, 4.7284883E+002
 1.5661340E+001, 5.1216688E+002
 1.5727623E+001, 4.7904824E+002
 1.5790809E+001, 4.6354035E+002
 1.5841358E+001, 3.6421784E+002
 1.5904544E+001, 2.7028848E+002
 1.5967729E+001, 2.5587750E+002
 1.6022069E+001, 3.0466581E+002
 1.6080453E+001, 4.1164230E+002
 1.6141617E+001, 6.2826553E+002
 1.6208897E+001, 7.9288329E+002
 1.6272619E+001, 8.2506820E+002
 1.6332784E+001, 8.9026824E+002
 1.6392948E+001, 8.4478322E+002
 1.6453113E+001, 7.9946821E+002
 1.6513277E+001, 8.1426277E+002
 1.6573442E+001, 7.8681404E+002
 1.6633606E+001, 5.6412229E+002
 1.6693771E+001, 2.7222800E+002
 1.6753935E+001, 2.7291582E+002
 1.6814099E+001, 6.2059255E+002
 1.6870716E+001, 6.8510373E+002
 1.6923785E+001, 8.0119931E+002
 1.6990122E+001, 8.3911989E+002
 1.7046862E+001, 8.2040909E+002
 1.7112949E+001, 7.8959728E+002
 1.7169965E+001, 6.4447045E+002
 1.7226981E+001, 6.1774160E+002
 1.7283997E+001, 7.1581468E+002
 1.7341014E+001, 7.0734882E+002
 1.7412284E+001, 7.5375560E+002
 1.7469300E+001, 6.4853017E+002
 1.7526316E+001, 4.6670374E+002
 1.7583333E+001, 4.7610833E+002
 1.7640349E+001, 6.8471867E+002
 1.7706895E+001, 8.2368233E+002
 1.7760148E+001, 7.6720108E+002
 1.7829885E+001, 7.7810607E+002
 1.7885674E+001, 6.7454950E+002
 1.7945648E+001, 6.5749849E+002
 1.8007016E+001, 7.5107614E+002
 1.8068384E+001, 7.6043514E+002
 1.8129752E+001, 8.0051766E+002
 1.8191121E+001, 8.2727010E+002
 1.8250671E+001, 8.4495509E+002
 1.8304766E+001, 8.7346558E+002
 1.8372385E+001, 8.2220609E+002
 1.8426480E+001, 7.7500529E+002
 1.8480576E+001, 7.9062458E+002
 1.8540080E+001, 8.1027427E+002
 1.8614462E+001, 7.9968581E+002
 1.8673966E+001, 7.1390129E+002
 1.8733471E+001, 7.3953207E+002
 1.8795951E+001, 7.4708137E+002
 1.8845043E+001, 7.5564233E+002
 1.8910498E+001, 7.4162419E+002
 1.8970351E+001, 4.1392202E+002
 1.9028336E+001, 3.2446086E+002
 1.9080742E+001, 5.4126087E+002
 1.9143656E+001, 7.1623148E+002
 1.9202177E+001, 6.1119442E+002
 1.9266551E+001, 3.9664742E+002
 1.9330925E+001, 2.7810299E+002
 1.9382424E+001, 2.2325897E+002
 1.9449373E+001, 1.9466049E+002
 1.9507438E+001, 2.6582016E+002
 1.9569751E+001, 4.3014695E+002
 1.9632065E+001, 6.4399283E+002
 1.9694379E+001, 7.3463225E+002
 1.9741114E+001, 7.6124585E+002
 1.9805227E+001, 5.9508470E+002
 1.9869339E+001, 3.7413052E+002
 1.9920629E+001, 3.1986434E+002
 1.9989870E+001, 3.9612332E+002
 2.0051931E+001, 5.6098479E+002
 2.0113992E+001, 6.9523766E+002
 2.0160538E+001, 7.5331603E+002
 2.0222598E+001, 7.9249651E+002
 2.0284659E+001, 8.4880632E+002
 2.0352291E+001, 8.4262898E+002
 2.0406396E+001, 7.9644650E+002
 2.0460501E+001, 7.1593368E+002
 2.0528133E+001, 4.5524305E+002
 2.0588993E+001, 4.7008878E+002
 2.0641501E+001, 5.7840463E+002
 2.0713698E+001, 5.8826515E+002
 2.0771456E+001, 5.1905722E+002
 2.0827592E+001, 4.0467012E+002
 2.0891683E+001, 5.3823116E+002
 2.0944237E+001, 7.7990457E+002
 2.1000636E+001, 8.3128047E+002
 2.1071135E+001, 8.4028390E+002
 2.1127535E+001, 7.5983555E+002
 2.1183934E+001, 8.3105941E+002
 2.1240334E+001, 8.5141984E+002
 2.1310833E+001, 8.2454767E+002
 2.1367232E+001, 6.9608882E+002
 2.1423632E+001, 4.9153888E+002
 2.1480031E+001, 5.2113306E+002
 2.1550531E+001, 4.7040527E+002
 2.1606930E+001, 4.4269040E+002
 2.1663329E+001, 6.5323488E+002
 2.1733829E+001, 6.3391781E+002
 2.1790228E+001, 4.4864262E+002
 2.1846628E+001, 4.7037431E+002
 2.1903027E+001, 7.7370597E+002
 2.1973526E+001, 8.0118965E+002
 2.2029926E+001, 6.5044199E+002
 2.2086325E+001, 4.8071613E+002
 2.2142725E+001, 3.2877263E+002
 2.2213224E+001, 2.3655824E+002
 2.2269623E+001, 2.8438619E+002
 2.2331663E+001, 4.5684550E+002
 2.2393702E+001, 6.0110938E+002
 2.2440232E+001, 7.2954449E+002
 2.2502271E+001, 7.6760761E+002
 2.2564310E+001, 6.7723357E+002
 2.2626350E+001, 5.6042290E+002
 2.2686787E+001, 5.2507642E+002
 2.2750754E+001, 2.9992938E+002
 2.2800814E+001, 1.6566783E+002
 2.2868395E+001, 1.8775264E+002
 2.2923461E+001, 2.7495805E+002
 2.2992293E+001, 1.9170941E+002
 2.3047359E+001, 1.4916067E+002
 2.3107931E+001, 1.6939326E+002
 2.3173046E+001, 2.7080925E+002
 2.3223018E+001, 5.4600499E+002
 2.3287645E+001, 7.5645484E+002
 2.3342950E+001, 7.3248833E+002
 2.3407944E+001, 6.2270871E+002
 2.3472938E+001, 4.6719220E+002
 2.3524934E+001, 4.1085538E+002
 2.3589928E+001, 6.0245259E+002
 2.3641923E+001, 6.5274715E+002
 2.3709517E+001, 3.9541391E+002
 2.3768141E+001, 4.2653355E+002
 2.3831055E+001, 6.9453713E+002
 2.3893970E+001, 8.3007422E+002
 2.3951677E+001, 8.3918063E+002
 2.4007650E+001, 7.2369141E+002
 2.4063622E+001, 5.9422507E+002
 2.4133587E+001, 6.0475003E+002
 2.4189559E+001, 7.6265296E+002
 2.4245532E+001, 8.2560823E+002
 2.4301504E+001, 8.2122430E+002
 2.4371469E+001, 8.4542708E+002
 2.4427442E+001, 7.1671455E+002
 2.4486212E+001, 3.9309683E+002
 2.4543509E+001, 2.9860205E+002
 2.4609823E+001, 3.3697727E+002
 2.4671951E+001, 5.5716196E+002
 2.4727150E+001, 7.5567469E+002
 2.4784977E+001, 6.7677000E+002
 2.4842804E+001, 6.2701925E+002
 2.4910716E+001, 6.5448435E+002
 2.4964013E+001, 6.2262447E+002
 2.5021210E+001, 7.4590588E+002
 2.5092707E+001, 7.6950146E+002
 2.5149904E+001, 7.4588197E+002
 2.5207101E+001, 6.9753434E+002
 2.5264298E+001, 5.9854292E+002
 2.5321495E+001, 4.7093202E+002
 2.5392991E+001, 3.8727594E+002
 2.5450188E+001, 5.4352915E+002
 2.5507386E+001, 7.2908271E+002
 2.5566013E+001, 7.8102824E+002
 2.5623100E+001, 8.3367106E+002
 2.5692031E+001, 4.6690771E+002
 2.5747175E+001, 2.7250301E+002
 2.5802320E+001, 4.0328369E+002
 2.5871250E+001, 7.6489995E+002
 2.5927774E+001, 8.2072321E+002
 2.5988432E+001, 7.6598037E+002
 2.6049091E+001, 8.4650508E+002
 2.6109750E+001, 8.5669653E+002
 2.6164303E+001, 8.6856930E+002
 2.6229950E+001, 7.8615839E+002
 2.6282468E+001, 5.7411203E+002
 2.6342762E+001, 4.5552207E+002
 2.6406032E+001, 4.6799994E+002
 2.6469303E+001, 5.9372298E+002
 2.6521184E+001, 7.0747858E+002
 2.6592174E+001, 8.0562196E+002
 2.6653419E+001, 8.4886769E+002
 2.6714665E+001, 8.7223429E+002
 2.6766842E+001, 8.7589452E+002
 2.6820323E+001, 7.2666336E+002
 2.6892066E+001, 7.9867808E+002
 2.6949460E+001, 8.3917820E+002
 2.7006854E+001, 8.3827896E+002
 2.7064248E+001, 8.6402941E+002
 2.7121643E+001, 8.4347552E+002
 2.7193386E+001, 8.3983511E+002
 2.7250780E+001, 8.1342908E+002
 2.7308174E+001, 6.6900081E+002
 2.7365569E+001, 6.2405384E+002
 2.7422963E+001, 4.7438949E+002
 2.7480357E+001, 4.8876970E+002
 2.7552100E+001, 6.4248607E+002
 2.7609494E+001, 5.9451077E+002
 2.7666889E+001, 6.8520133E+002
 2.7724283E+001, 8.0692877E+002
 2.7781677E+001, 8.0597079E+002
 2.7850546E+001, 5.9451287E+002
 2.7902193E+001, 5.5493408E+002
 2.7969334E+001, 6.6058083E+002
 2.8026145E+001, 7.4886168E+002
 2.8082957E+001, 7.2296626E+002
 2.8153971E+001, 6.7188525E+002
 2.8210783E+001, 6.2699026E+002
 2.8267594E+001, 4.8701031E+002
 2.8324406E+001, 4.2629067E+002
 2.8381217E+001, 4.4860747E+002
 2.8452231E+001, 5.6308299E+002
 2.8509043E+001, 5.0600438E+002
 2.8564334E+001, 2.9748518E+002
 2.8627749E+001, 2.8181208E+002
 2.8693700E+001, 6.2894160E+002
 2.8752295E+001, 6.7653543E+002
 2.8813680E+001, 5.6429880E+002
 2.8875065E+001, 6.1582648E+002
 2.8930821E+001, 6.4299461E+002
 2.8982862E+001, 5.9500746E+002
 2.9044622E+001, 7.3838551E+002
 2.9104548E+001, 7.7192184E+002
 2.9171966E+001, 8.2557986E+002
 2.9225901E+001, 8.6119571E+002
 2.9293320E+001, 8.8464262E+002
 2.9347255E+001, 8.6791003E+002
 2.9401190E+001, 8.1296639E+002
 2.9472654E+001, 6.3143196E+002
 2.9531982E+001, 4.9530203E+002
 2.9591311E+001, 4.1603242E+002
 2.9649036E+001, 3.6827572E+002
 2.9701953E+001, 3.1975395E+002
 2.9770745E+001, 2.6160829E+002
 2.9833319E+001, 3.3351611E+002
 2.9881340E+001, 5.1765772E+002
 2.9940329E+001, 5.7138105E+002
