s,C,mol/mol,mol/mol
Time,"TEMP_KITCHEN","O2_KITCHEN","CO_KITCHEN"
 0.0000000E+000, 2.0000000E+001, 2.0755882E-001, 0.0000000E+000
 2.0196200E-001, 2.0000312E+001, 2.0755882E-001, 0.0000000E+000
 4.0392400E-001, 2.0062112E+001, 2.0755882E-001, 0.0000000E+000
 6.0588599E-001, 2.0232317E+001, 2.0755882E-001, 0.0000000E+000
 7.2018837E-001, 2.0357307E+001, 2.0755882E-001, 4.0021663E-028
 9.0465755E-001, 2.0481294E+001, 2.0755882E-001, 6.8376011E-026
 1.1038322E+000, 2.0779997E+001, 2.0755882E-001, 3.8464181E-024
 1.2622825E+000, 2.1269422E+001, 2.0755882E-001, 2.2168398E-023
 1.4450767E+000, 2.2035658E+001, 2.0755882E-001, 2.2753551E-011
 1.6270055E+000, 4.7452024E+002, 1.2714821E-001, 1.0348269E-003
 1.8066775E+000, 7.7549812E+002, 7.1442172E-002, 1.7414079E-003
 1.9825635E+000, 7.8318190E+002, 9.3605590E-002, 1.4543836E-003
 2.1671843E+000, 9.6969816E+002, 7.9680590E-002, 1.6473450E-003
 2.3460338E+000, 6.1072259E+002, 1.4225388E-001, 8.4896606E-004
 2.5244729E+000, 7.0990463E+002, 1.2962001E-001, 1.0029332E-003
 2.7067045E+000, 1.0412980E+003, 7.6071598E-002, 1.6741859E-003
 2.8834032E+000, 6.6226762E+002, 1.4011763E-001, 8.7902913E-004
 3.0601018E+000, 9.8594534E+002, 8.9189053E-002, 1.5179003E-003
 3.2462072E+000, 1.0947198E+003, 2.4049393E-002, 2.1975057E-003
 3.4230173E+000, 9.1270651E+002, 1.0361682E-001, 1.3331834E-003
 3.6007351E+000, 6.8914926E+002, 1.3328796E-001, 9.6329841E-004
 3.7804434E+000, 5.8116062E+002, 1.5046772E-001, 7.4583075E-004
 3.9612676E+000, 4.4351296E+002, 1.6626182E-001, 5.4011073E-004
 4.1463065E+000, 1.7152596E+002, 1.9510239E-001, 1.6308338E-004
 4.3245770E+000, 1.6268327E+002, 1.9560421E-001, 1.5646883E-004
 4.5032491E+000, 3.9231588E+002, 1.7256542E-001, 4.5717093E-004
 4.6804960E+000, 1.9405245E+002, 1.9304993E-001, 1.8995289E-004
 4.8645021E+000, 1.2665091E+002, 1.9916859E-001, 1.0986430E-004
 5.0406714E+000, 1.2817134E+002, 1.9915895E-001, 1.0995510E-004
 5.2207686E+000, 6.0594262E+001, 2.0516177E-001, 3.1392048E-005
 5.4022734E+000, 6.4845823E+001, 2.0466243E-001, 3.7928897E-005
 5.5805994E+000, 1.2888822E+002, 1.9861321E-001, 1.1717794E-004
 5.7664503E+000, 1.9082459E+002, 1.9297099E-001, 1.9100071E-004
 5.9406340E+000, 1.1067323E+002, 2.0077261E-001, 8.8895561E-005
 6.1255280E+000, 5.4898920E+001, 2.0561880E-001, 2.5416185E-005
 6.3086683E+000, 6.9477181E+001, 2.0390368E-001, 4.7884818E-005
 6.4845866E+000, 1.2506772E+002, 1.9867932E-001, 1.1630175E-004
 6.6641857E+000, 2.7431569E+002, 1.8278922E-001, 3.2399014E-004
 6.8448128E+000, 2.4389371E+002, 1.8579020E-001, 2.8467056E-004
 7.0260332E+000, 5.0724000E+002, 1.5140761E-001, 7.3333613E-004
 7.2004995E+000, 4.9900233E+002, 1.6022868E-001, 6.1917013E-004
 7.3841482E+000, 1.7903167E+002, 1.9452846E-001, 1.7059419E-004
 7.5687799E+000, 6.3028682E+002, 1.3486667E-001, 9.4728147E-004
 7.7440173E+000, 5.4834210E+002, 1.4706757E-001, 7.8793210E-004
 7.9229950E+000, 1.9565694E+002, 1.9218566E-001, 2.0089465E-004
 8.1012723E+000, 8.1026893E+002, 1.1593068E-001, 1.1959210E-003
 8.2801760E+000, 7.1713067E+002, 1.3232202E-001, 9.8043936E-004
 8.4612717E+000, 2.9419833E+002, 1.8366178E-001, 3.1284759E-004
 8.6437714E+000, 7.7361718E+002, 1.0307260E-001, 1.3506584E-003
 8.8204733E+000, 9.5544936E+002, 8.7469615E-002, 1.5559357E-003
 9.0058326E+000, 5.4635230E+002, 1.5078134E-001, 7.4020913E-004
 9.1831329E+000, 2.4448314E+002, 1.8903783E-001, 2.4247638E-004
 9.3676863E+000, 1.1853327E+002, 2.0041686E-001, 9.3510151E-005
 9.5426817E+000, 3.3387856E+002, 1.7406602E-001, 4.3708741E-004
 9.7203227E+000, 4.5244974E+002, 1.6261737E-001, 5.8671529E-004
 9.9012917E+000, 6.0073982E+002, 1.4888703E-001, 7.6613776E-004
 1.0087791E+001, 2.5482330E+002, 1.8651695E-001, 2.7529549E-004
 1.0262291E+001, 1.8093244E+002, 1.9397546E-001, 1.7781384E-004
 1.0448067E+001, 2.2437539E+002, 1.8902422E-001, 2.4260660E-004
 1.0623588E+001, 6.8531102E+002, 1.3467025E-001, 9.5133041E-004
 1.0805185E+001, 4.5106034E+002, 1.6485480E-001, 5.5798434E-004
 1.0981065E+001, 3.0722531E+002, 1.7870111E-001, 3.7586213E-004
 1.1162318E+001, 1.9470610E+002, 1.9227064E-001, 1.9992559E-004
 1.1343572E+001, 4.0624275E+002, 1.7049496E-001, 4.8519566E-004
 1.1523344E+001, 7.2671982E+002, 1.3308027E-001, 9.7312239E-004
 1.1701425E+001, 7.7143448E+002, 1.2757972E-001, 1.0443575E-003
 1.1885603E+001, 7.2792515E+002, 1.3114058E-001, 9.9658730E-004
 1.2064402E+001, 3.6118499E+002, 1.7682737E-001, 4.0216146E-004
 1.2249230E+001, 7.5710910E+002, 1.2345138E-001, 1.0974922E-003
 1.2426064E+001, 1.0281720E+003, 7.9402857E-002, 1.6669505E-003
 1.2600303E+001, 8.2853702E+002, 1.2019392E-001, 1.1370113E-003
 1.2786539E+001, 4.8761556E+002, 1.6238468E-001, 5.8972768E-004
 1.2963113E+001, 6.9710932E+002, 1.3620749E-001, 9.3257520E-004
 1.3145834E+001, 7.9937240E+002, 1.2193683E-001, 1.1185637E-003
 1.3321080E+001, 9.0019235E+002, 1.0713476E-001, 1.3075764E-003
 1.3507479E+001, 3.3962871E+002, 1.7964274E-001, 3.6523355E-004
 1.3683356E+001, 2.6474345E+002, 1.8742955E-001, 2.6360239E-004
 1.3869075E+001, 2.9619007E+002, 1.8381981E-001, 3.1069297E-004
 1.4048107E+001, 3.5883364E+002, 1.7754415E-001, 3.9291462E-004
 1.4226714E+001, 8.2612101E+002, 1.1134127E-001, 1.2524914E-003
 1.4402460E+001, 8.2751472E+002, 1.1442194E-001, 1.2145914E-003
 1.4582784E+001, 6.3670705E+002, 1.4244157E-001, 8.4932420E-004
 1.4762250E+001, 5.0248912E+002, 1.6073427E-001, 6.1217563E-004
 1.4945914E+001, 5.2988643E+002, 1.5859857E-001, 6.4037710E-004
 1.5126894E+001, 5.2740209E+002, 1.5622281E-001, 6.7107990E-004
 1.5307875E+001, 9.9881033E+002, 8.5075393E-002, 1.5901021E-003
 1.5480712E+001, 7.2239555E+002, 1.3198214E-001, 9.8556389E-004
 1.5660480E+001, 7.3617053E+002, 1.3070259E-001, 1.0036876E-003
 1.5841582E+001, 7.1777505E+002, 1.3248879E-001, 9.8088529E-004
 1.6021954E+001, 4.6368159E+002, 1.6568877E-001, 5.4782509E-004
 1.6206019E+001, 5.3063823E+002, 1.5594968E-001, 6.7394005E-004
 1.6386548E+001, 4.6461990E+002, 1.6803530E-001, 5.1722180E-004
 1.6564152E+001, 1.0046553E+003, 7.0639774E-002, 1.7453486E-003
 1.6741002E+001, 1.0535021E+003, 8.6900965E-002, 1.5684860E-003
 1.6928809E+001, 9.5364380E+002, 9.8734280E-002, 1.4174191E-003
 1.7105883E+001, 4.9656303E+002, 1.6534429E-001, 5.5234866E-004
 1.7288491E+001, 5.0422015E+002, 1.6301650E-001, 5.8250428E-004
 1.7464569E+001, 4.9532771E+002, 1.6006294E-001, 6.1881609E-004
 1.7641931E+001, 2.4368842E+002, 1.8979266E-001, 2.3271809E-004
 1.7820115E+001, 7.1951259E+002, 1.2613524E-001, 1.0627668E-003
 1.8002771E+001, 4.7247127E+002, 1.6188748E-001, 5.9731193E-004
 1.8190020E+001, 2.1608638E+002, 1.9104625E-001, 2.1634328E-004
 1.8364305E+001, 1.6835736E+002, 1.9570522E-001, 1.5530904E-004
 1.8543802E+001, 2.7283186E+002, 1.8375564E-001, 3.1163992E-004
 1.8728187E+001, 2.4661982E+002, 1.8801538E-001, 2.5602667E-004
 1.8901421E+001, 3.6659897E+002, 1.7508300E-001, 4.2527300E-004
 1.9082030E+001, 2.8974099E+002, 1.8281183E-001, 3.2413493E-004
 1.9262639E+001, 1.9342789E+002, 1.9236507E-001, 1.9905952E-004
 1.9447521E+001, 1.8756591E+002, 1.9309385E-001, 1.8951203E-004
 1.9622532E+001, 4.1733213E+002, 1.6977249E-001, 4.9473369E-004
 1.9803824E+001, 2.4659391E+002, 1.8787423E-001, 2.5785546E-004
 1.9990537E+001, 1.8135082E+002, 1.9348941E-001, 1.8433550E-004
 2.0162587E+001, 5.6021748E+002, 1.4248920E-001, 8.4685548E-004
 2.0340425E+001, 7.1591875E+002, 1.3808853E-001, 9.0620918E-004
 2.0529788E+001, 2.8431576E+002, 1.8498117E-001, 2.9569912E-004
 2.0703370E+001, 1.9851653E+002, 1.9190446E-001, 2.0498279E-004
 2.0882211E+001, 6.4853813E+002, 1.3573577E-001, 9.3597358E-004
 2.1068097E+001, 9.6182086E+002, 9.6971900E-002, 1.4390361E-003
 2.1242852E+001, 4.3545898E+002, 1.6921104E-001, 5.0153710E-004
 2.1428703E+001, 5.2610700E+002, 1.5605982E-001, 6.7353696E-004
 2.1601041E+001, 4.9843250E+002, 1.5926156E-001, 6.3178349E-004
 2.1788181E+001, 3.1165811E+002, 1.7950680E-001, 3.6708351E-004
 2.1965015E+001, 5.7602367E+002, 1.4965329E-001, 7.5581601E-004
 2.2146820E+001, 4.7803325E+002, 1.6071473E-001, 6.0992978E-004
 2.2325130E+001, 9.6427515E+002, 1.0214700E-001, 1.3739695E-003
 2.2506263E+001, 4.8846578E+002, 1.6817009E-001, 5.1515115E-004
 2.2680013E+001, 5.6059531E+002, 1.5440827E-001, 6.9486759E-004
 2.2866984E+001, 5.4737525E+002, 1.5529027E-001, 6.8335978E-004
 2.3045560E+001, 5.4365839E+002, 1.5601256E-001, 6.7404951E-004
 2.3220131E+001, 1.0022658E+003, 8.8082836E-002, 1.5528994E-003
 2.3403891E+001, 8.8551273E+002, 1.1096231E-001, 1.2599037E-003
 2.3585558E+001, 6.3860138E+002, 1.4595002E-001, 8.0480397E-004
 2.3760214E+001, 6.0492615E+002, 1.5086658E-001, 7.4164429E-004
 2.3945508E+001, 6.6680778E+002, 1.3949953E-001, 8.8911337E-004
 2.4126303E+001, 4.4123163E+002, 1.6785718E-001, 5.1978361E-004
 2.4306379E+001, 5.5147395E+002, 1.5519800E-001, 6.8462234E-004
 2.4490249E+001, 7.4210095E+002, 1.3022106E-001, 1.0099622E-003
 2.4668106E+001, 5.4018079E+002, 1.5903640E-001, 6.3491542E-004
 2.4845950E+001, 6.1270628E+002, 1.4836472E-001, 7.7289819E-004
 2.5023767E+001, 2.7971918E+002, 1.8471279E-001, 2.9925614E-004
 2.5208135E+001, 2.1055852E+002, 1.8971932E-001, 2.3373858E-004
 2.5383144E+001, 2.8591737E+002, 1.8125757E-001, 3.4417194E-004
 2.5562851E+001, 3.8090298E+002, 1.7086959E-001, 4.7993009E-004
 2.5743008E+001, 4.1146138E+002, 1.6818184E-001, 5.1516633E-004
 2.5923571E+001, 3.1985531E+002, 1.7866390E-001, 3.7853649E-004
 2.6106069E+001, 3.6696352E+002, 1.7411490E-001, 4.3806452E-004
 2.6285145E+001, 4.2125504E+002, 1.7025410E-001, 4.8842084E-004
 2.6464639E+001, 3.0866982E+002, 1.8113261E-001, 3.4618531E-004
 2.6640732E+001, 2.2992411E+002, 1.8795113E-001, 2.5690587E-004
 2.6823627E+001, 2.1732288E+002, 1.8916425E-001, 2.4101235E-004
 2.7010071E+001, 2.2065316E+002, 1.8886896E-001, 2.4487736E-004
 2.7182063E+001, 4.4856622E+002, 1.6490899E-001, 5.5825290E-004
 2.7360125E+001, 6.9373384E+002, 1.3606517E-001, 9.3529708E-004
 2.7542821E+001, 4.2843357E+002, 1.6835073E-001, 5.1349745E-004
 2.7729898E+001, 3.1891584E+002, 1.7931111E-001, 3.7007621E-004
 2.7909272E+001, 2.2752374E+002, 1.8806155E-001, 2.5545894E-004
 2.8082008E+001, 7.4280468E+002, 1.1787883E-001, 1.1672704E-003
 2.8268629E+001, 5.6865467E+002, 1.4707920E-001, 7.9123946E-004
 2.8446521E+001, 2.6035673E+002, 1.8409473E-001, 3.0735895E-004
 2.8620946E+001, 2.8260114E+002, 1.8170099E-001, 3.3869517E-004
 2.8807121E+001, 2.6920523E+002, 1.8341063E-001, 3.1637025E-004
 2.8982311E+001, 3.6054753E+002, 1.7558269E-001, 4.1892693E-004
 2.9161589E+001, 7.5695957E+002, 1.2059121E-001, 1.1342477E-003
 2.9341001E+001, 6.4544951E+002, 1.4084925E-001, 8.7232560E-004
 2.9522652E+001, 3.4437112E+002, 1.7526959E-001, 4.2293181E-004
 2.9700038E+001, 3.0309095E+002, 1.7982067E-001, 3.6337000E-004
 2.9889526E+001, 4.2398229E+002, 1.6712790E-001, 5.2935051E-004
 3.0061751E+001, 4.4628712E+002, 1.6484449E-001, 5.5885392E-004
 3.0243813E+001, 8.4873535E+002, 1.1283557E-001, 1.2368917E-003
 3.0426217E+001, 4.6309038E+002, 1.6166019E-001, 6.0068556E-004
 3.0605932E+001, 3.0260066E+002, 1.7944594E-001, 3.6826983E-004
 3.0785647E+001, 2.8495321E+002, 1.8091472E-001, 3.4900153E-004
 3.0965362E+001, 3.2795515E+002, 1.7603572E-001, 4.1288754E-004
 3.1145077E+001, 4.2867231E+002, 1.6706531E-001, 5.3034176E-004
 3.1324971E+001, 5.0260863E+002, 1.5737760E-001, 6.5651821E-004
 3.1505752E+001, 3.7784773E+002, 1.7272085E-001, 4.5623163E-004
 3.1688436E+001, 2.5197275E+002, 1.8415476E-001, 3.0662997E-004
 3.1861475E+001, 2.9634676E+002, 1.7924494E-001, 3.7084453E-004
 3.2044619E+001, 2.5383343E+002, 1.8374243E-001, 3.1203923E-004
 3.2229465E+001, 2.6495256E+002, 1.8223353E-001, 3.3171860E-004
 3.2407809E+001, 6.2323037E+002, 1.4578253E-001, 8.0797386E-004
 3.2587800E+001, 5.2091791E+002, 1.5507889E-001, 6.8600574E-004
 3.2767791E+001, 2.6390545E+002, 1.8175229E-001, 3.3807967E-004
 3.2940182E+001, 3.8135836E+002, 1.6874220E-001, 5.0816877E-004
 3.3128270E+001, 7.1300458E+002, 1.3212836E-001, 9.8689028E-004
 3.3308984E+001, 3.9873732E+002, 1.6785718E-001, 5.1993102E-004
 3.3485478E+001, 3.6298149E+002, 1.7181100E-001, 4.6776776E-004
 3.3666819E+001, 5.7829720E+002, 1.5388593E-001, 7.0205885E-004
 3.3846138E+001, 4.1901566E+002, 1.6933754E-001, 5.0046421E-004
 3.4026895E+001, 2.8084969E+002, 1.7963046E-001, 3.6581352E-004
 3.4200897E+001, 4.8585621E+002, 1.5849687E-001, 6.4199847E-004
 3.4382150E+001, 5.4742717E+002, 1.5761250E-001, 6.5373830E-004
 3.4563413E+001, 3.4094352E+002, 1.7499967E-001, 4.2641777E-004
 3.4742405E+001, 3.7341211E+002, 1.6813226E-001, 5.1575544E-004
 3.4925219E+001, 7.8178715E+002, 1.2797668E-001, 1.0410803E-003
 3.5108970E+001, 9.0400388E+002, 1.0829691E-001, 1.2966521E-003
 3.5288641E+001, 7.9334963E+002, 1.2571714E-001, 1.0701294E-003
 3.5466132E+001, 6.6896510E+002, 1.4392004E-001, 8.3298812E-004
 3.5647139E+001, 5.2686006E+002, 1.5769194E-001, 6.5254846E-004
 3.5828770E+001, 3.0233012E+002, 1.7818140E-001, 3.8483682E-004
 3.6006389E+001, 4.5617607E+002, 1.5770881E-001, 6.5150456E-004
 3.6185948E+001, 6.4919158E+002, 1.4014409E-001, 8.8174613E-004
 3.6364822E+001, 4.0748750E+002, 1.6792243E-001, 5.1922420E-004
 3.6540093E+001, 8.5119094E+002, 1.1499975E-001, 1.2107957E-003
 3.6725457E+001, 9.6893562E+002, 9.9044576E-002, 1.4178365E-003
 3.6908195E+001, 9.6347386E+002, 1.0260959E-001, 1.3687115E-003
 3.7081677E+001, 8.3081639E+002, 1.2216064E-001, 1.1156478E-003
 3.7263560E+001, 6.1221227E+002, 1.4717089E-001, 7.8981014E-004
 3.7440824E+001, 5.1040020E+002, 1.5488949E-001, 6.8911126E-004
 3.7628722E+001, 3.7229285E+002, 1.6854774E-001, 5.1084077E-004
 3.7808957E+001, 4.5157314E+002, 1.5925374E-001, 6.3244348E-004
 3.7981655E+001, 4.4605965E+002, 1.5962214E-001, 6.2750626E-004
 3.8165148E+001, 1.0305923E+003, 8.5632982E-002, 1.5895928E-003
 3.8348640E+001, 9.2808004E+002, 1.0518024E-001, 1.3374450E-003
 3.8521338E+001, 6.8953479E+002, 1.3368312E-001, 9.6561372E-004
 3.8701882E+001, 4.2673637E+002, 1.6336346E-001, 5.7881956E-004
 3.8887740E+001, 3.0005322E+002, 1.7533822E-001, 4.2212191E-004
 3.9063331E+001, 2.7032959E+002, 1.7790897E-001, 3.8847641E-004
 3.9245313E+001, 5.7698042E+002, 1.4130485E-001, 8.6378218E-004
 3.9423433E+001, 1.0607790E+003, 8.2406557E-002, 1.6301549E-003
 3.9606461E+001, 9.2382897E+002, 1.0533680E-001, 1.3351530E-003
 3.9786928E+001, 4.8381926E+002, 1.5499141E-001, 6.8794620E-004
 3.9965107E+001, 3.8863410E+002, 1.6558823E-001, 5.4976856E-004
 4.0141852E+001, 2.9180950E+002, 1.7576876E-001, 4.1649271E-004
 4.0321912E+001, 6.2263268E+002, 1.3445670E-001, 9.5727883E-004
 4.0508788E+001, 1.1083946E+003, 6.7663258E-002, 1.8187794E-003
 4.0684416E+001, 6.1981775E+002, 1.4294627E-001, 8.4578244E-004
 4.0864116E+001, 4.1223830E+002, 1.6279892E-001, 5.8604068E-004
 4.1051749E+001, 3.1453159E+002, 1.7195520E-001, 4.6632614E-004
 4.1225248E+001, 3.5303021E+002, 1.6711922E-001, 5.2963150E-004
 4.1403659E+001, 4.7677159E+002, 1.5435689E-001, 6.9631662E-004
 4.1587804E+001, 6.4159049E+002, 1.3844997E-001, 9.0482148E-004
 4.1761426E+001, 4.5202650E+002, 1.5858454E-001, 6.4130820E-004
 4.1946623E+001, 3.6699436E+002, 1.6738484E-001, 5.2629042E-004
 4.2129784E+001, 3.0639245E+002, 1.7367735E-001, 4.4391596E-004
 4.2307856E+001, 3.1112625E+002, 1.7320590E-001, 4.5009320E-004
 4.2482469E+001, 2.9719419E+002, 1.7349961E-001, 4.4620831E-004
 4.2664159E+001, 4.5804549E+002, 1.5396747E-001, 7.0157824E-004
 4.2843332E+001, 4.9684112E+002, 1.5093810E-001, 7.4090188E-004
 4.3024281E+001, 4.7918590E+002, 1.5528915E-001, 6.8460497E-004
 4.3203197E+001, 2.8612407E+002, 1.7379916E-001, 4.4232926E-004
 4.3390282E+001, 7.1342007E+002, 1.1899291E-001, 1.1531751E-003
 4.3562562E+001, 6.3906431E+002, 1.3667783E-001, 9.2767749E-004
 4.3748874E+001, 3.3950383E+002, 1.6819319E-001, 5.1574022E-004
 4.3927769E+001, 2.7505710E+002, 1.7478091E-001, 4.2946691E-004
 4.4104898E+001, 3.0665831E+002, 1.7130603E-001, 4.7494580E-004
 4.4283880E+001, 7.4546514E+002, 1.2278614E-001, 1.1081210E-003
 4.4467308E+001, 4.1655476E+002, 1.6040913E-001, 6.1768272E-004
 4.4644154E+001, 3.9258763E+002, 1.6202248E-001, 5.9630796E-004
